c	2306	-6.061	2.633
i	28840	-6.066	2.424
i	28852	-6.073	2.215
i	28864	-6.078	2.008
i	28876	-6.078	1.800
i	28888	-6.082	1.594
i	28900	-6.083	1.387
i	28912	-6.086	1.178
i	28924	-6.090	0.970
i	28936	-6.094	0.760
i	28948	-6.099	0.553
i	28960	-6.102	0.347
i	28972	-6.104	0.138
i	28984	-6.103	-0.067
i	28996	-6.104	-0.273
i	29008	-6.104	-0.478
i	29020	-6.100	-0.686
i	29032	-6.096	-0.895
i	29044	-6.097	-1.099
i	29056	-6.097	-1.304
i	29068	-6.095	-1.508
i	29080	-6.092	-1.715
i	29092	-6.093	-1.920
i	29104	-6.092	-2.132
i	29116	-6.087	-2.337
i	29128	-6.080	-2.544
i	29140	-6.078	-2.751
i	29152	-6.075	-2.955
i	29164	-6.071	-3.161
i	29176	-6.063	-3.373
i	29188	-6.062	-3.581
i	29200	-6.059	-3.787
i	29212	-6.053	-3.993
i	29224	-6.047	-4.203
i	29236	-6.040	-4.417
i	29248	-6.035	-4.627
i	29260	-6.030	-4.836
i	29272	-6.023	-5.047
i	29284	-6.014	-5.253
i	29296	-6.008	-5.460
i	29308	-6.000	-5.667
i	29320	-5.990	-5.876
i	29332	-5.983	-6.084
i	29344	-5.974	-6.292
i	29356	-5.964	-6.500
i	29368	-5.954	-6.709
i	29380	-5.944	-6.917
i	29392	-5.936	-7.124
i	29404	-5.926	-7.332
i	29416	-5.913	-7.541
i	29428	-5.905	-7.751
i	29440	-5.894	-7.957
i	29452	-5.882	-8.162
i	29464	-5.871	-8.372
i	29476	-5.860	-8.581
i	29488	-5.849	-8.789
i	29500	-5.837	-8.995
i	29512	-5.821	-9.203
i	29524	-5.807	-9.411
i	29536	-5.791	-9.620
i	29548	-5.774	-9.831
i	29560	-5.760	-10.042
i	29572	-5.745	-10.251
i	29584	-5.727	-10.461
i	29596	-5.712	-10.668
i	29608	-5.696	-10.874
i	29620	-5.681	-11.084
i	29632	-5.663	-11.292
i	29644	-5.645	-11.500
i	29656	-5.628	-11.708
i	29668	-5.609	-11.920
i	29680	-5.586	-12.134
i	29692	-5.565	-12.342
i	29704	-5.547	-12.552
i	29716	-5.525	-12.761
i	29728	-5.502	-12.971
i	29740	-5.480	-13.178
i	29752	-5.458	-13.386
i	29764	-5.437	-13.594
i	29776	-5.412	-13.804
i	29788	-5.392	-14.014
i	29800	-5.370	-14.223
i	29812	-5.345	-14.433
i	29824	-5.318	-14.640
i	29836	-5.295	-14.850
i	29848	-5.270	-15.059
i	29860	-5.244	-15.267
i	29872	-5.219	-15.477
i	29884	-5.194	-15.684
i	29896	-5.167	-15.893
i	29908	-5.138	-16.101
i	29920	-5.111	-16.309
i	29932	-5.083	-16.518
i	29944	-5.056	-16.727
i	29956	-5.025	-16.938
i	29968	-4.996	-17.145
i	29980	-4.965	-17.352
i	29992	-4.937	-17.562
i	30004	-4.908	-17.773
i	30016	-4.877	-17.982
i	30028	-4.846	-18.190
i	30040	-4.814	-18.399
i	30052	-4.786	-18.610
i	30064	-4.756	-18.818
i	30076	-4.722	-19.027
i	30088	-4.688	-19.239
i	30100	-4.653	-19.450
i	30112	-4.621	-19.658
i	30124	-4.589	-19.866
i	30136	-4.554	-20.078
i	30148	-4.518	-20.287
i	30160	-4.487	-20.495
i	30172	-4.452	-20.706
i	30184	-4.415	-20.916
i	30196	-4.377	-21.126
i	30208	-4.341	-21.336
i	30220	-4.303	-21.545
i	30232	-4.261	-21.755
i	30244	-4.224	-21.969
i	30256	-4.186	-22.181
i	30268	-4.148	-22.392
i	30280	-4.110	-22.603
i	30292	-4.069	-22.812
i	30304	-4.027	-23.024
i	30316	-3.986	-23.233
i	30328	-3.942	-23.444
i	30340	-3.901	-23.654
i	30352	-3.858	-23.865
i	30364	-3.812	-24.077
i	30376	-3.770	-24.287
i	30388	-3.729	-24.499
i	30400	-3.684	-24.710
i	30412	-3.639	-24.919
i	30424	-3.594	-25.132
i	30436	-3.546	-25.343
i	30448	-3.501	-25.555
i	30460	-3.453	-25.766
i	30472	-3.407	-25.976
i	30484	-3.361	-26.184
i	30496	-3.310	-26.395
i	30508	-3.262	-26.607
i	30520	-3.215	-26.819
i	30532	-3.166	-27.031
i	30544	-3.117	-27.241
i	30556	-3.067	-27.454
i	30568	-3.017	-27.666
i	30580	-2.968	-27.878
i	30592	-2.915	-28.093
i	30604	-2.864	-28.304
i	30616	-2.809	-28.517
i	30628	-2.754	-28.728
i	30640	-2.700	-28.940
i	30652	-2.643	-29.151
i	30664	-2.589	-29.363
i	30676	-2.530	-29.577
i	30688	-2.476	-29.792
i	30700	-2.422	-30.007
i	30712	-2.361	-30.221
i	30724	-2.298	-30.436
i	30736	-2.239	-30.647
