4	0.0078	-0.9847	0.1245	0.2014	0.2417	-0.0805
59672	0.0079	-0.9845	0.1246	0.1360	0.2971	-0.2013
59688	0.0082	-0.9846	0.1248	0.2467	0.1913	-0.2818
59704	0.0081	-0.9848	0.1248	0.2551	0.2148	-0.2416
59716	0.0080	-0.9842	0.1245	0.2216	0.2686	-0.1566
59728	0.0082	-0.9847	0.1243	0.1678	0.2350	-0.0582
59740	0.0079	-0.9850	0.1245	0.1276	0.2148	-0.4966
59752	0.0076	-0.9848	0.1248	0.2148	-0.0806	-0.2416
59764	0.0077	-0.9844	0.1247	0.1746	-0.0873	-0.0761
59776	0.0076	-0.9845	0.1244	0.2283	0.0806	-0.1431
59788	0.0076	-0.9843	0.1246	0.2014	0.1477	-0.2058
59800	0.0079	-0.9848	0.1244	0.0470	0.0470	-0.2281
59812	0.0081	-0.9843	0.1242	0.2551	0.1007	-0.3087
59824	0.0081	-0.9845	0.1246	0.4096	0.2820	-0.0716
59836	0.0079	-0.9841	0.1247	0.5237	0.2081	-0.1297
59848	0.0083	-0.9843	0.1248	0.2887	0.3021	-0.1163
59860	0.0084	-0.9848	0.1251	0.2081	0.1611	-0.4116
59872	0.0080	-0.9845	0.1245	0.3357	0.1074	-0.2953
59884	0.0085	-0.9847	0.1245	0.4364	0.1678	-0.1029
59896	0.0079	-0.9842	0.1250	0.2350	0.2081	-0.1834
59908	0.0082	-0.9846	0.1247	0.2686	0.1410	-0.2997
59920	0.0079	-0.9846	0.1248	0.1074	0.1544	-0.3758
59932	0.0076	-0.9843	0.1245	0.1343	0.2551	-0.1387
59944	0.0079	-0.9844	0.1245	0.3223	0.1947	-0.0939
59956	0.0071	-0.9845	0.1247	0.1678	0.0201	-0.1387
59968	0.0075	-0.9846	0.1248	0.4028	0.1208	-0.0134
59980	0.0075	-0.9847	0.1246	0.2350	0.1343	-0.1655
59992	0.0080	-0.9848	0.1245	0.3021	0.0000	-0.4160
60004	0.0083	-0.9846	0.1244	0.1141	0.2820	-0.1700
60016	0.0080	-0.9846	0.1244	0.3424	0.0873	-0.2595
60028	0.0079	-0.9845	0.1245	0.2148	0.1343	-0.2729
60040	0.0079	-0.9843	0.1243	0.2887	0.0269	-0.0626
60052	0.0077	-0.9847	0.1245	0.4498	0.1813	-0.3445
60064	0.0080	-0.9847	0.1243	0.3223	0.1007	-0.1387
60076	0.0084	-0.9849	0.1241	0.1074	0.2954	-0.2953
60088	0.0083	-0.9845	0.1244	0.2417	-0.0067	-0.3489
60100	0.0077	-0.9842	0.1248	0.1410	0.0873	-0.2639
60112	0.0077	-0.9846	0.1244	0.1947	0.1880	-0.2326
60124	0.0072	-0.9841	0.1248	0.1074	0.2820	-0.3758
60136	0.0077	-0.9840	0.1246	0.4700	-0.0806	-0.1834
60148	0.0079	-0.9843	0.1246	0.1477	0.1074	-0.4563
60160	0.0088	-0.9843	0.1244	0.3424	0.1880	-0.2326
60172	0.0082	-0.9848	0.1243	0.2551	0.2484	-0.2416
60184	0.0079	-0.9843	0.1244	0.1074	0.0806	-0.2774
60196	0.0079	-0.9842	0.1244	0.1880	0.2014	-0.2371
60208	0.0083	-0.9845	0.1244	0.2887	-0.0738	-0.3042
60220	0.0089	-0.9851	0.1243	-0.0403	0.3155	-0.0537
60232	0.0086	-0.9846	0.1243	0.0738	0.2417	0.0134
60244	0.0079	-0.9848	0.1242	0.3155	0.0738	-0.1789
60256	0.0078	-0.9846	0.1245	0.2753	0.1141	-0.1253
60268	0.0082	-0.9846	0.1243	0.2753	0.1007	-0.4160
60280	0.0079	-0.9847	0.1246	0.1544	0.0537	-0.2416
60292	0.0079	-0.9849	0.1244	0.0873	0.1544	-0.2505
60304	0.0078	-0.9848	0.1241	0.1611	0.0671	-0.2729
60316	0.0080	-0.9847	0.1246	0.1544	0.0537	-0.0268
60328	0.0084	-0.9846	0.1247	0.3491	0.1544	-0.0089
60340	0.0076	-0.9846	0.1245	0.2081	0.0940	-0.2192
60352	0.0077	-0.9842	0.1245	-0.0269	0.0403	-0.1253
60364	0.0078	-0.9843	0.1242	0.2484	0.0940	-0.0537
60376	0.0076	-0.9848	0.1247	0.2484	0.0403	-0.1253
60388	0.0074	-0.9846	0.1245	0.1611	0.0403	-0.1431
60400	0.0077	-0.9844	0.1248	0.3155	0.1141	-0.3087
60412	0.0078	-0.9845	0.1246	0.2954	0.0604	-0.1118
60424	0.0076	-0.9846	0.1246	0.1947	0.2686	-0.0358
60436	0.0073	-0.9840	0.1246	0.1007	0.0873	-0.1700
60448	0.0080	-0.9843	0.1245	0.1746	0.0470	-0.1789
60460	0.0075	-0.9840	0.1249	0.3088	-0.0067	-0.1029
60472	0.0075	-0.9846	0.1245	0.3558	0.0067	-0.2103
60484	0.0078	-0.9847	0.1246	0.3155	-0.0067	-0.3221
60496	0.0081	-0.9848	0.1244	0.1678	-0.0671	-0.1476
60508	0.0084	-0.9846	0.1244	0.2350	0.2216	-0.2237
60520	0.0076	-0.9841	0.1245	0.2618	0.1611	-0.1789
60532	0.0075	-0.9844	0.1248	0.2618	0.1678	-0.2863
60544	0.0082	-0.9845	0.1248	0.2283	0.3290	-0.1610
60556	0.0079	-0.9845	0.1248	0.2551	0.0604	-0.3489
60568	0.0076	-0.9841	0.1247	0.2820	0.1007	-0.2147
60580	0.0075	-0.9844	0.1246	0.3021	0.3894	-0.3221
60592	0.0079	-0.9845	0.1244	0.3021	0.1611	-0.3355
60604	0.0083	-0.9851	0.1243	0.3021	0.0537	-0.3042
60616	0.0084	-0.9849	0.1244	0.3021	0.1343	-0.1789
60628	0.0077	-0.9842	0.1248	0.2954	0.1007	-0.3221
60640	0.0079	-0.9846	0.1249	0.4364	0.0738	-0.4071
60652	0.0078	-0.9840	0.1245	0.2618	0.1208	-0.2595
60664	0.0076	-0.9843	0.1245	0.5035	-0.0336	-0.0626
60676	0.0076	-0.9842	0.1245	0.2283	0.1343	-0.3534
60688	0.0080	-0.9844	0.1245	0.3088	0.0604	-0.4742
60700	0.0073	-0.9838	0.1245	0.0940	0.2283	-0.1118
60712	0.0076	-0.9844	0.1246	0.2753	0.1343	-0.1834
60724	0.0079	-0.9845	0.1245	0.5035	0.0403	-0.1610
